"","plain","gaus0.5","gaus1.0","gaus1.5","fgsm0.15","fgsm0.3","fgsm0.5"
"1",98.18,91.43,61.8,39.43,61.65,9.08,0.28
"2",98.52,96.66,73.04,43.44,89.43,57.35,13.35
"3",98.3,93.02,64.39,39.46,56.57,5.75,0.25
"4",98.4,95.82,69.01,42.85,86.56,46.25,3.83
"5",98.48,95.83,71.57,42.17,73.26,12.42,0.11
"6",98.25,95.1,71.39,44.3,70.23,11.74,0.28
"7",98.44,91.53,61.38,40.61,35.15,1.23,0
"8",98.25,89.47,60.59,38.47,9.33,0.04,0
"9",98.28,92.03,64.29,38.69,68.79,21.4,1.74
"10",98.46,96.02,68.39,40.36,65.55,10.69,0.28
"11",98.09,93.35,57.43,33.22,81.1,26.39,1.36
