"","plain","gaus0.5","gaus1.0","gaus1.5","fgsm0.15","fgsm0.3","fgsm0.5","fgsm0.7"
"1",98.79,97.64,75.64,44.58,95.55,88.04,58.24,21.39
"2",98.69,97.83,72.45,39.33,96.13,90.83,71.47,38.69
"3",98.57,97.28,73.85,47.87,95.65,85.98,52.7,20.73
"4",98.52,97.8,71.94,41.14,95.92,90.34,68.83,40.76
"5",98.52,98.02,81.18,45.39,95.77,88.72,62.92,23.82
"6",98.68,96.22,72.05,45.96,95.51,86.62,50.92,19.42
"7",98.53,97.42,80.2,51.2,95.25,88.1,65.45,36.55
"8",98.79,95.85,65.06,36.98,95.8,87.86,54.96,23.25
"9",98.58,97.56,74.79,44.75,96.01,89.86,64.92,31.94
"10",98.68,98.04,74.66,45.68,96.3,89.2,60.45,22.4
"11",98.66,97.99,77.84,46.35,95.8,87.55,60.58,25.23
"12",98.66,97.61,72.06,42.77,95.49,86.98,51.63,19.4
"13",98.52,98.01,81.25,45.04,95.92,88.88,63.36,28.06
"14",98.47,97.72,74.82,46.58,95.1,85.14,51.06,19.17
